source_row,关键词,关键词翻译,趋势,旺季,淡季,综合,月搜索量,月购买量,购买率,SPR,PPC竞价,AC推荐词,流量占比,流量词类型,首个ASIN自然排名,首个ASIN广告排名,预估周曝光量,相关产品,相关ASIN,ABA周排名,unnamed_21,unnamed_22,unnamed_23,unnamed_24,标题密度,商品数,供需比,广告竞品数,点击集中度,前三ASIN转化总占比,unnamed_31,建议竞价范围,#1_前三ASIN,#1_点击共享,#1_转化共享,#2_前三ASIN,#2_点击共享,#2_转化共享,#3_前三ASIN,#3_点击共享,#3_转化共享,前十ASIN
105,types jump starter portable power bank,类型跳跃启动器便携式移动电源,"'=DISPIMG(""ID_F8868D4C92AE48549B86E7FC3E345E25"",1)",8-2,3-7,5593.11842767296,1373,133,0.0974,2,$1.59,,,自然搜索词,34,,0,6,B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B015TKUPIC,1140783,,,,,0,211,30.67,27,0.4963,0.2463,,$3.32 - $9.82,B0829FTQVF,0.2055,0.1045,B08KJNKC6V,0.1842,0.0522,B08KJN6M1Y,0.1068,0.0896,"B0829FTQVF,B08KJNKC6V,B088W5748B,B0B52K15VY,B083SD2GH1,B07WZLM3TS,B09LB9RMVG,B08KHQR293,B07QNNG12L,B0CGCRHS2Z"
106,battery booster pack,电池增压包,"'=DISPIMG(""ID_4F0013223B154F97BAF379378D91D6CC"",1)",8-2,3-7,5504.63313253012,2326,270,0.1164,4,$3.32,,,自然搜索词/HR推荐词/品牌广告词/SP广告词,5,10,0,8,B0CGJ5GZWM/B09F9CR89W/B087LRFYDB/B09HJH1S41/B0C7BS8P5Y/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1675324,,,,,34,22694,0.08,16,0.3819,0,,$0.62 - $1.03,B0756YM6CF,0.1455,0,B07DRK27C1,0.1273,0,B0C5YL1YYH,0.1091,0,"B0756YM6CF,B01M7O3JTY,B00JEXXYBG,B00K77UQ46,B00004RGVZ,B08TTRTL27,B015J5HU4Y,B09WKBLJ25,B07DRK27C1,B0BQBHV8WX"
107,car jump pack,汽车跳包,"'=DISPIMG(""ID_D59F82A672514C81BD7188B3F9483491"",1)",7-2,3-6,5495.70408602151,2596,214,0.0828,3,$2.79,,0.0004,自然搜索词/品牌广告词/视频广告词/SP广告词,9,1,2180,10,B08MFKSVX5/B0CGJ5GZWM/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B015TKUPIC/B09W2GVWKM/B084YQSVZ6/B09F9CR89W/B08NPGCFSG,774118,,,,,0,1798,2.66,26,0.4758,0.3125,,$2.79 - $4.42,B07W46BX31,0.2485,0.1354,B015TKUPIC,0.1594,0.1458,B09FJQ7F5R,0.068,0.0313,"B015TKUPIC,B07Z1D26CS,B0CGJ5GZWM,B08GYFP5JK,B07W46BX31,B098JVY4B9,B01D42TYFC,B09FJQ7F5R,B09W5SFK6L,B0CGDWPB1T"
108,car jump box,汽车跳箱,"'=DISPIMG(""ID_1EE02A9A341E444882396E772707B344"",1)",7-2,3-6,5451.53939393939,3307,224,0.068,3,$3.08,,0.0008,自然搜索词/品牌广告词/视频广告词/SP广告词,13,1,3937,11,B07T9S3Q5N/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B084YQSVZ6/B087LRFYDB,582767,,,,,2,340,36.25,19,0.915,0.8614,,$0.70 - $1.19,B0CC394T33,0.8356,0.8069,B01MQ1JLWY,0.0589,0.0495,B0BH7Z7GCJ,0.0207,0.005,"B0CC394T33,B07KBDRDDZ,B09X258K7G,B0CJ68T8S5,B0CP8BQ6GF,B089C1DCMC,B0BNNVGVJW,B09X2CG92L,B08YZ8V76M,B08TVJM4S7"
109,lithium jump starter,锂电起动器,"'=DISPIMG(""ID_B84817580948479EB2B549936933D8FB"",1)",10-2,3-9,5179.16878873239,3002,271,0.0904,4,$3.55,,0.0007,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,9,1,3573,12,B09W2GVWKM/B07T9S3Q5N/B08MFKSVX5/B09HJH1S41/B016UG6PWE/B0C7BS8P5Y/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B0CGJ5GZWM/B084YQSVZ6/B087LRFYDB,700625,,,,,0,206,18.01,24,0.3844,0.3523,,$2.54 - $4.25,B015TKUPIC,0.1467,0.1591,B000JFJLP6,0.1383,0.1023,B0924V8SPC,0.0995,0.0909,"B000JFJLP6,B08T637RW9,B0BHNQYHFN,B0CCKR3FTB,B01GQDBNWS,B000JFHNQA,B0BZP6HCVS,B015TKUPIC,B0C7BS8P5Y,B0C53FSBWP"
110,portable car charger power bank,便携式车载充电器,"'=DISPIMG(""ID_88E51293869F411F9D9EE077593E9117"",1)",1-2,3-12,5166.07146666667,944,124,0.1324,2,1.5,,,自然搜索词/品牌广告词,10,1,0,6,B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1844456,,,,,0,144,54.41,65,0.632,0.6083,,$1.25 - $1.62,B0BGWRWRX2,0.3265,0.275,B0B9447P5P,0.2029,0.25,B0C141QZVL,0.1026,0.0833,"B0BGWRWRX2,B0C141QZVL,B09YD2D96V,B097BJ8WP7,B0C36BBF7Y,B0B9447P5P,B0C7V33VT7,B0CJDZVDJN,B0B9Y3DCLZ,B09GW2NC12"
111,self jump starter for car,汽车自动启动器,"'=DISPIMG(""ID_B156B0EA43E0446DA78D9CA4E97A96D5"",1)",8-2,3-7,5100.02931578947,2561,241,0.0942,4,$2.85,,0.0005,自然搜索词/品牌广告词/视频广告词/SP广告词,5,1,2392,9,B0CGJ5GZWM/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B08TWVQCDH/B08NPGCFSG,726623,,,,,1,157,75.8,9,0.6589,0.6063,,$1.23 - $2.80,B00CD44RQO,0.4426,0.5118,B000FRLO9Y,0.1102,0.0433,B006CQ9BMO,0.1063,0.0512,"B00CD44RQO,B000FRLO9Y,B006CQ9BMO,B00GODGN9E,B00GODCLYU,B07CWBY39W,B0044WWQIE,B083TBGZYJ,B00EUF6UM8,B005HR2RM0"
112,battery booster,电池助推器,"'=DISPIMG(""ID_46AE8A730A2146FA9028BA6C0CEE6FCE"",1)",7-2,3-6,5006.42153645833,5122,277,0.0542,4,$3.84,,0.0011,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,6,53,5458,13,B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B084YQSVZ6/B015TKUPIC/B08MFKSVX5/B0CGJ5GZWM/B09W2GVWKM/B08TWVQCDH/B07T9S3Q5N/B09F9CR89W/B09HJH1S41,342869,,,,,0,122,92.07,15,0.8744,0.8727,,$0.75 - $1.25,B015TKUPIC,0.8054,0.8073,B07C2VZGJY,0.0402,0.0545,B016UG6PWE,0.0288,0.0109,"B015TKUPIC,B07C2VZGJY,B07MVY7K43,B0924V8SPC,B016UG6PWE,B09G76SGHD,B0B64GH589,B015TKPT1A,B071F36LXZ,B084QDHH6G"
113,power pack car jumper,电源盒汽车跳线,"'=DISPIMG(""ID_CD9172A2D3914FB1B31560CF33B60BCC"",1)",11-2,3-10,4999.53803738318,2149,219,0.1023,3,$3.21,,,自然搜索词/品牌广告词/视频广告词,4,1,0,10,B0CGJ5GZWM/B08MFKSVX5/B07T9S3Q5N/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1028571,,,,,16,136,26.98,318,0.6014,0.4244,,$1.00 - $1.65,B07MKSP49L,0.2743,0.2075,B08576D2RL,0.2266,0.1226,B0CSJMZXNC,0.1005,0.0943,"B08576D2RL,B0CSJMZXNC,B07MKSP49L,B0CBR6SWFB,B0CGZP3JGR,B08KDHL66B,B08LGTYBQQ,B0CB5CR1MV,B0CGR1RP28,B0C7BY69SW"
114,buture jump starter with air compressor,带空气压缩机的丁尿起动器,"'=DISPIMG(""ID_313EB068A6024BF19D3E621D850D85C3"",1)",11-2,3-10,4990.85326666667,1891,122,0.0649,2,1.5,Y,,自然搜索词/AC推荐词,16,,0,2,B0CGJ5GZWM/B0C7BS8P5Y,1596354,,,,,0,3940,1.3,59,0.2256,0,,$1.13 - $1.89,B013RIQMEO,0.1522,0,B08ZNNWNN5,0.0515,0,B07GKQBWWF,0.0219,0,"B0CLW8Q89R,B0CQJZZWXY,B0CLK6XB6S,B0CMH6R6YQ,B0CNT4F5ZD,B0CLV5NKDR,B0CLRPMXPD,B0CNK3TRLW,B0CNH25154,B0CS2QRFV9"
115,lokithor jump starter with air compressor,带空气压缩机的 lokithor 启动器,"'=DISPIMG(""ID_F8055ECF8B9F4A7F875B5A52AFD4805D"",1)",10-2,3-9,4661.29106666667,1826,118,0.0649,2,1.5,,,自然搜索词/SP广告词,32,19,0,1,B0CGJ5GZWM,1651359,,,,,8,6391,5.39,101,0.3481,0.2184,,$1.20 - $2.04,B01C96AFWU,0.1862,0.0998,B07XKGWNP8,0.0843,0.0414,B09QXJF7C5,0.0776,0.0772,"B09QXJF7C5,B07BR7Q4RG,B004C16S0O,B07M8LS7MP,B09KRB9JSJ,B08RS888RH,B07FT6R38V,B01C96AFWU,B0BXGKSJKT,B087PV7LXQ"
116,jumper battery,跳线电池,"'=DISPIMG(""ID_5EBE207FF67745E9A0093DAB785C0217"",1)",5-11 1,12 2-4,4658.94740932643,1877,268,0.143,4,$3.86,,,自然搜索词/品牌广告词/视频广告词/SP广告词,5,1,0,8,B0CGJ5GZWM/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1194705,,,,,2,528,4.64,19,0.6158,0.4789,,$0.63 - $1.05,B081T7N948,0.2486,0.2465,B08RDNV8KQ,0.2099,0.1338,B08TBYPGVC,0.1575,0.0986,"B08RDNV8KQ,B08TBYPGVC,B0BHH4TLRG,B09L1GS93B,B08921F1XR,B0988X73FW,B0BCP59BZB,B0CLR27JY2,B00E4XWNY0,B0CJLM3GL5"
117,portable jumper cables for car battery,汽车电池便携式跨接电缆,"'=DISPIMG(""ID_9AB94CC91947452D9EA322078D9895B3"",1)",10-2,3-9,4594.0362,1399,117,0.0842,2,1.5,,,自然搜索词/品牌广告词/视频广告词,6,1,0,6,B0CGJ5GZWM/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B015TKUPIC,2454993,,,,,17,146,20.92,19,0.6722,0.6744,,$1.52 - $2.54,B08M41FX48,0.4861,0.4419,B08TQFHW1C,0.1006,0.0465,B09J21T9CL,0.0857,0.186,"B08M41FX48,B09J21T9CL,B08TW8NLTD,B0CB7H12GD,B0CJJNWFLH,B08TQFHW1C,B09N79S3WR,B091PK96S1,B0BHQKGMJ4,B0995JF1DX"
118,car jump starter with air compressor,带空气压缩机的汽车起动器,,,0.0009,7021.27842323651,9501,260,0.0274,4,$2.41,171009,,,,,19,399,23.81,86,0.2345,0.229,,$1.18 - $4.84,B0CGJ5GZWM,0.1009,0.0697,B09NCWV576,0.067,0.0896,B0BG2LDTM6,0.067,0.0697,"B0CF9G1354,B0CLRSMCB7,B09FJQ7F5R,B0CLL149DM,B09G5WC4TD,B0CGJ5GZWM,B0BXWY4KPG,B0CNK6C57H,B0CMT9DZF4,B0B6FPJXXK",,,,,,,,
119,portable car jumper,便携式汽车跳线,"'=DISPIMG(""ID_D2DBF7156A014A808FB0D263B6FB416A"",1)",7-1,2-6,4560.45189504373,2326,250,0.1076,4,$3.43,,0.0004,自然搜索词/品牌广告词/视频广告词/SP广告词,9,1,2097,8,B0CGJ5GZWM/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B08MFKSVX5,874609,,,,,19,65995,0.43,126,0.1973,0.1259,,$1.25 - $2.41,B092TC62BW,0.1085,0.0783,B09XDLWH2S,0.0462,0.0308,B08B8WVG5K,0.0426,0.0168,"B09XDLWH2S,B07VFF9Z5B,B0BHSNR8BJ,B008KECI8K,B092TC62BW,B09WZWWR9Q,B096MPVNJ1,B07SYZD3L1,B0B2WKTCR4,B08B8WVG5K"
120,jump start box,跳跃启动框,"'=DISPIMG(""ID_9EE6E2D32B1A4E21BDF4773259B8EA74"",1)",11-2,3-10,4541.26740802676,1737,233,0.1342,4,$2.99,,,自然搜索词/品牌广告词/视频广告词/SP广告词,4,1,0,10,B0CGJ5GZWM/B09W2GVWKM/B084YQSVZ6/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1112835,,,,,0,928,5.31,38,0.2344,0.1099,,$1.10 - $1.71,B07W8KJH44,0.1038,0.022,B0CJQXQ8G2,0.0681,0.011,B0BDLC7RVB,0.0625,0.0769,"B07WGZ8DSL,B0CKDQCFPB,B0BQHHYCSC,B0BDLC7RVB,B0BLK1LWKS,B08S333KDC,B0CC4LM6V1,B0BPH6S4DN,B0BZP6HCVS,B0BFHTQZWN"
121,portable jumper,便携式跳线,"'=DISPIMG(""ID_D32A81463C7F4E3EAFCDB2A21B31AB0F"",1)",7-2,3-6,4541.19071849234,1861,196,0.1057,3,$2.83,,0.0004,自然搜索词/品牌广告词/视频广告词/SP广告词,4,1,2073,8,B0CGJ5GZWM/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B07T9S3Q5N,925237,,,,,0,125,58.3,14,0.6223,0.2777,,'-,B0B52K15VY,0.3593,0,B08KJNJJL2,0.1484,0.0833,B08KJN6M1Y,0.1147,0.1944,"B08KJNJJL2,B0B52K15VY,B0CR4HQVDS,B0B52JLW4W,B0BXWY4KPG,B07B2THJJV,B0CGJ5GZWM,B08MSY7S6V,B09G5WC4TD,B0CHNRMZ27"
122,battery starter,电池启动器,"'=DISPIMG(""ID_7FE0C3D7D9334C0B89B4ED81F472F74E"",1)",7-11,12-6,4483.92865306122,3176,331,0.1045,5,$4.90,,0.0009,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,1,4181,12,B0CGJ5GZWM/B09HJH1S41/B087LRFYDB/B0C7BS8P5Y/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B084YQSVZ6/B07T9S3Q5N,571821,,,,,41,26619,0.19,59,0.1852,0,,$2.06 - $3.45,B01BEDNKL2,0.076,0,B08NMLTBFV,0.0615,0,B08KLF3DQG,0.048,0,"B08TR567CQ,B003FO2B5U,B086KSDTQ4,B0CCRHLGY1,B01BEEGIY2,B0BZP45JLS,B094F8KCRD,B08D4WD1HG,B0757Y9V47,B07HZ7YF25"
123,car jump starter with air compressor,带空气压缩机的汽车起动器,"'=DISPIMG(""ID_5DA9DBF5AA17420286647770693BB737"",1)",11-3,4-10,7021.27842323651,9501,260,0.0274,4,$2.41,,0.0009,自然搜索词,78,,4329,9,B0CGJ5GZWM/B0C7BS8P5Y/B087LRFYDB/B015TKUPIC/B09HJH1S41/B08NPGCFSG/B09F9CR89W/B08MFKSVX5/B07T9S3Q5N,171009,,,,,0,884,16.25,33,0.4004,0.3559,,$1.30 - $2.50,B07W46BX31,0.2128,0.1653,B06XWDZ2KQ,0.1115,0.1147,B0B3RJCNS5,0.0763,0.0759,"B06XWDZ2KQ,B0B3RJCNS5,B08LLFQNNJ,B082VQJQJP,B0BMLM11NR,B0B67W12TL,B07W46BX31,B0BCGFZBYN,B07W6B987F,B07W8KJH44"
124,jump starter and air compressor,跨接起动器和空气压缩机,,,,6825.07222222222,1716,121,0.071,2,$1.08,1217090,,,,,0,410,4.19,5,0.3206,0,,$0.66 - $2.17,B0BG2LDTM6,0.1321,0,B09G5WC4TD,0.0943,0,B0CLX19L28,0.0943,0,"B0CGJ5GZWM,B002X6VXL4,B0CF9G1354,B0CLRSMCB7,B09G5WC4TD,B09FJQ7F5R,B00RZXVQSU,B0CHNRMZ27,B0CLL149DM,B0CLX19L28",,,,,,,,
125,cordless battery charger,无绳电池充电器,"'=DISPIMG(""ID_CBB2D64689E444D2B94DFCABBB3EC256"",1)",8-2,3-7,4234.27185365854,1391,93,0.0671,1,$2.05,,,自然搜索词,4,,0,6,B08MFKSVX5/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B015TKUPIC,2414606,,,,,0,2695,10.96,34,0.3422,0.3248,,$1.42 - $2.40,B07W46BX31,0.1597,0.1624,B097D397M6,0.1252,0.1175,B07BLLRM8R,0.0574,0.0449,"B097D397M6,B094VQ88X2,B098JVY4B9,B07BLLRM8R,B07W46BX31,B0B67W12TL,B07895WM6P,B07QPSNZPP,B073ZD7XVV,B07Y5ZB8Z5"
126,jump starter and air compressor,跨接起动器和空气压缩机,"'=DISPIMG(""ID_9F4F7CC9C968460A803739B56F7B5906"",1)",10-2,3-9,6825.07222222222,1716,121,0.071,2,$1.08,,,SP广告词,,9,0,2,B0CGJ5GZWM/B09HJH1S41,1217090,,,,,0,3832,8.39,107,0.2878,0.2281,,$1.51 - $2.83,B07QXV6N1B,0.1063,0.0986,B08G1KB88B,0.0924,0.0202,B0C2423BW9,0.0891,0.1093,"B07QXV6N1B,B07CZDXDG8,B0C4JTVBBH,B0C2423BW9,B0CDH4Z3JR,B094G1GL8T,B09176JCKZ,B08VDJP7WN,B07JYYRT7T,B0936GZ7H3"
127,jump starter power bank,起动器电源库,"'=DISPIMG(""ID_CF17C44E2FFD4EF2B19A8256908813C3"",1)",6-2,3-5,4153.0621421371,2157,287,0.1331,4,$4.96,,,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,6,1,0,12,B0CGJ5GZWM/B09W2GVWKM/B08MFKSVX5/B07T9S3Q5N/B084YQSVZ6/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1648993,,,,,13,8695,23.23,37,0.4124,0,,$0.36 - $0.64,B06XRDHM44,0.2231,0,B00VHQQPFK,0.1152,0,B08KXT5JV8,0.0741,0,"B06XRVMJCB,B08KXTJJMJ,B08KXV1DCF,B08WWS77R2,B0C6FLH1WR,B0B3G3YB32,B0B3Z3SCWT,B088X41GBS,B01COH8L9I,B0B41NJNKH"
128,auto jump starter power pack,汽车启动器电源包,"'=DISPIMG(""ID_9A825FC6C4D94255A7A89BA872B096A8"",1)",11-4,5-10,4037.64790419162,3534,318,0.09,5,$5.01,,0.001,自然搜索词/品牌广告词/视频广告词,12,1,4950,11,B08MFKSVX5/B0CGJ5GZWM/B08TWVQCDH/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09W2GVWKM,524265,,,,,0,35477,0.09,24,0.1516,0.1612,,$0.37 - $0.62,B07Q56HGHX,0.0527,0.0806,B07XJYHMFD,0.0505,0.0645,B01FAP7T44,0.0484,0.0161,"B07Q56HGHX,B0CJCHCDQB,B07XG2L2NT,B00Z0B8A1K,B01FAP7T44,B09V2W31LR,B000SKRR76,B01FAAKN7E,B01HU2L1NU,B07XJYHMFD"
129,battery jumper starter,电池跳线启动器,"'=DISPIMG(""ID_68FDA4B27F3C4C4FA7D7C1D2CC8BA98D"",1)",10-11,12-9,4035.68185714286,2852,281,0.0987,4,$4.90,,0.001,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,4,7,4939,13,B08TWVQCDH/B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B08MFKSVX5/B015TKUPIC/B09F9CR89W/B09W2GVWKM/B07T9S3Q5N/B084YQSVZ6,495397,,,,,0,312,59.46,40,0.3048,0.307,,$1.19 - $1.69,B07BLLRM8R,0.1637,0.1847,B07895WM6P,0.0752,0.0719,B0756PV96N,0.0659,0.0504,"B07BLLRM8R,B0797KK3N2,B0756PV96N,B07897HX4W,B07895WM6P,B079C5SZ2H,B0789697JT,B0756Q88J5,B07DM22XTN,B078962VRM"
130,motorcycle battery jump starter,摩托车电池跨接起动器,"'=DISPIMG(""ID_BD86B7B313574B3DAF99EEF9729AB20C"",1)",6-2,3-5,4020.48559322034,1233,119,0.097,2,$1.77,,0.0005,自然搜索词/HR推荐词/品牌广告词/视频广告词/SP广告词,5,14,2256,10,B09W2GVWKM/B0C7BS8P5Y/B087LRFYDB/B015TKUPIC/B09F9CR89W/B08TWVQCDH/B07T9S3Q5N/B084YQSVZ6/B016UG6PWE/B08NPGCFSG,613359,,,,,1,1470,4.21,20,0.4314,0.3132,,$4.57 - $7.63,B015TKUPIC,0.2883,0.2088,B016UG6PWE,0.0739,0.0165,B0C4Y9NTQT,0.0693,0.0879,"B000JFJLP6,B0C4Y9NTQT,B0C5X8CVNJ,B015TKUPIC,B0BZP6HCVS,B0B55RFM1Z,B087LRFYDB,B09W5SFK6L,B0CGJ5GZWM,B000JFHNQA"
131,jumper starter,跳线启动器,"'=DISPIMG(""ID_BF82DAF40B1A43EB84E2F2D510008EB2"",1)",8-2,3-7,3914.20831955923,2417,238,0.0988,4,$3.63,,0.0006,自然搜索词/品牌广告词/视频广告词/SP广告词,16,1,2716,8,B0CGJ5GZWM/B0C7BS8P5Y/B09HJH1S41/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W,848919,,,,,5,1208,4.77,25,0.497,0.4591,,$2.15 - $3.46,B079LHNH8D,0.2317,0.2327,B09592FGCY,0.1446,0.1195,B08MKZ6PPL,0.1208,0.1069,"B09592FGCY,B00SAT6Y08,B073VHZVZY,B07MWL3YR2,B0CH19HH3M,B0969KT75Q,B073VHBRFC,B08MKZ6PPL,B09ZYT2H5P,B004C16S0O"
132,motorcycle jump pack,摩托车跳包,"'=DISPIMG(""ID_8B9DC76C938B48D4B8C631C38BE59700"",1)",5-9,10-4,3891.32871111111,2251,187,0.0832,3,$3.00,,0.0004,自然搜索词/品牌广告词/视频广告词/SP广告词,8,65,2063,6,B09W2GVWKM/B087LRFYDB/B0C7BS8P5Y/B015TKUPIC/B09F9CR89W/B016UG6PWE,693600,,,,,7,2992,3.75,28,0.2773,0.1991,,$0.75 - $1.21,B09GLVT5H2,0.1485,0.1084,B09SCY82W3,0.0766,0.0442,B0054T95ZS,0.0523,0.0465,"B09GLVT5H2,B09PTGNMHF,B0054T95ZS,B07QZRKXSL,B082LTCF33,B09DKZRYZK,B09SFRCTM4,B0060YHIW8,B0BS68MGWB,B0CNZ76KXZ"
133,tire inflator jump starter combo,轮胎充气机跳跃启动器组合,,,,5951.5744,1808,109,0.0604,1,2,1755324,,,,,0,187,9.67,5,0.246,0.2858,,'-,B09FJQ7F5R,0.1385,0,B0C3CTKNFY,0.0615,0.1429,B0C2887FTM,0.0462,0.1429,"B0C3CTKNFY,B0B5ZY1TD8,B09FJQ7F5R,B002X6VXL4,B0C3GQXG11,B09G5WC4TD,B0BXWY4KPG,B0CJHS1KT5,B0BG2LDTM6,B0BFDV27KP",,,,,,,,
134,cargadores de batería para auto,汽车电池充电器,"'=DISPIMG(""ID_0F6D7CDA9DA044BCBD678848AC61DB2F"",1)",11-2,3-10,3558.032,1905,103,0.0544,2,1.5,,0.0001,自然搜索词,5,,706,4,B087LRFYDB/B015TKUPIC/B09HJH1S41/B08NPGCFSG,813432,,,,,0,358,95.9,9,0.3689,0.2152,,'-,B07W46BX31,0.1933,0.079,B097D397M6,0.0891,0.0899,B015TKUPIC,0.0866,0.0463,"B097D397M6,B015TKUPIC,B07Z1D26CS,B098JVY4B9,B09FJQ7F5R,B0CCDJS5GH,B0B67W12TL,B0BZP6HCVS,B0BX94N932,B00RZXVQSU"
135,types jump starter portable power bank,类型跳跃启动器便携式移动电源,,,,5593.11842767296,1373,133,0.0974,2,$1.59,1140783,,,,,0,241,5.7,5,0.7674,0.3333,,$0.77 - $3.19,B08XB2NL86,0.5349,0,B09S59SWK8,0.1628,0.3333,B0BPWZKFVV,0.0698,0,"B097RHNFYY,B07N84F356,B09S59SWK8,B08XB2NL86,B0BPWZKFVV,B0CB7H12GD,B07N863T19,B09Q15SPZJ,B09ZXSWTJQ,B09TP2B11R",,,,,,,,
136,jumper starter for car,汽车跳线起动器,"'=DISPIMG(""ID_C08282CD63B54962BE923691364299E6"",1)",10-2,3-9,3522.42228373702,3045,319,0.1048,5,$5.78,,0.0007,自然搜索词/品牌广告词/视频广告词/SP广告词,4,1,3164,9,B08MFKSVX5/B0CGJ5GZWM/B087LRFYDB/B016UG6PWE/B08NPGCFSG/B015TKUPIC/B09F9CR89W/B09HJH1S41/B0C7BS8P5Y,618602,,,,,12,34,62.76,3,0.9167,0.8775,,$0.57 - $0.95,B0924V8SPC,0.83,0.8163,B08WZKRHZZ,0.0567,0.0612,B015TKUPIC,0.03,0,"B0924V8SPC,B09P9JX6LY,B015TKUPIC,B08WZKRHZZ,B09P9XZC6D,B07MVY7K43,B0CNXDKMN2,B0BL1L8XVW,B071F36LXZ,B08WYKD6TY"
137,portable jump pack,便携式跳包,"'=DISPIMG(""ID_5997B56F83774B6CBB5CAE1CC2154C9E"",1)",10-2,3-9,3492.1094,1927,102,0.0533,1,$3.00,,,自然搜索词/品牌广告词/视频广告词/SP广告词,6,1,0,9,B0CGJ5GZWM/B084YQSVZ6/B09F9CR89W/B087LRFYDB/B0C7BS8P5Y/B09HJH1S41/B08NPGCFSG/B016UG6PWE/B015TKUPIC,1617300,,,,,1,110766,1.33,365,0.1238,0.0852,,$0.76 - $1.28,B08PF21KKL,0.06,0.042,B0BLSCY6PR,0.0373,0.021,B09WTYDVNW,0.0267,0.0222,"B09WTYDVNW,B08PF21KKL,B0BLSCY6PR,B099FJJYYC,B07B9BH5SL,B0899WR671,B016V2B1Z8,B082WYTH3G,B0CCNJK1LX,B07F2L4QJM"
138,stanley jump starter with air compressor,带空气压缩机的 stanley 启动器,,,,5363.29850364963,1937,121,0.0627,2,$1.37,1298889,,,,,0,138,14.04,16,0.5853,0.7391,,$0.76 - $2.75,B002X6VXL4,0.3136,0.2174,B07QR1CVRF,0.1498,0.3043,B07JNDKXFY,0.122,0.2174,"B002X6VXL4,B07QR1CVRF,B07JNDKXFY,B00RZXVQSU,B003ZYS8UW,B0CLX19L28,B0CGJ5GZWM,B086VRNYMM,B000JFJLP6,B07H39S9JQ",,,,,,,,
139,portable air compressor and jump starter,便携式空气压缩机和跨接启动器,"'=DISPIMG(""ID_71A1821737CB415996C3F99A887EAE56"",1)",11-2,3-10,4588.05837837838,1144,71,0.0627,1,$1.11,,,自然搜索词/SP广告词,120,12,0,3,B0CGJ5GZWM/B09HJH1S41/B0C7BS8P5Y,1062283,,,,,0,620,21,27,0.3486,0.2438,,$2.86 - $4.76,B07W46BX31,0.1817,0.0894,B097D397M6,0.1159,0.1463,B07W3QT226,0.0511,0.0081,"B097D397M6,B07Z1D26CS,B015TKUPIC,B0CHFBHHWD,B0B67W12TL,B0C42Y5TPD,B0BX94N932,B098JVY4B9,B01D42TYFC,B0CJ52CJZ2"
140,portable air compressor and jump starter,便携式空气压缩机和跨接启动器,,,,4588.05837837838,1144,71,0.0627,1,$1.11,1062283,,,,,0,414,2.76,21,0.3713,0.2,,$0.76 - $2.23,B09NCWV576,0.1429,0,B0CGJ5GZWM,0.1143,0.2,B0CLBCBCSK,0.1143,0,"B0CGJ5GZWM,B0CLRSMCB7,B002X6VXL4,B0CJJWJG6S,B09FJQ7F5R,B0CLL149DM,B06XD6XBCM,B0CNK6C57H,B0BMTRD9GL,B0CF9G1354",,,,,,,,
